Serial,comparison_status,original_stream,original_truck,original_pickup_gal,original_pickup_lb,original_inventory_pct,rolling_stream,rolling_truck,rolling_pickup_gal,rolling_pickup_lb,rolling_inventory_pct
1503638,unchanged,Bottles/Cans,T3,5.61,1.68,53.74,Bottles/Cans,T4,5.61,1.68,53.74
1514012,unchanged,Bottles/Cans,T3,14.52,4.36,59.68,Bottles/Cans,T4,16.25,4.88,59.68
1514013,unchanged,Bottles/Cans,T3,62.33,18.7,82.57,Bottles/Cans,T4,80.02,24.01,82.57
1514014,unchanged,Bottles/Cans,T3,0.0,0.0,18.55,Bottles/Cans,T4,5.0,1.5,18.55
1514015,unchanged,Bottles/Cans,T3,0.0,0.0,33.32,Bottles/Cans,T4,0.0,0.0,33.32
1514018,unchanged,Bottles/Cans,T3,0.0,0.0,17.8,Bottles/Cans,T4,0.0,0.0,17.8
1514020,unchanged,Bottles/Cans,T3,0.0,0.0,38.92,Bottles/Cans,T4,0.0,0.0,38.92
1515696,unchanged,Waste,T4,93.51,93.51,81.17,Waste,T2,93.51,93.51,81.17
1515703,unchanged,Waste,T1,0.0,0.0,35.14,Waste,T3,0.0,0.0,35.14
1515711,unchanged,Waste,T1,83.32,83.32,77.77,Waste,T3,83.32,83.32,77.77
1515727,unchanged,Bottles/Cans,T3,2.77,0.83,51.84,Bottles/Cans,T4,5.0,1.5,51.84
1515729,unchanged,Bottles/Cans,T3,0.0,0.0,39.17,Bottles/Cans,T4,5.0,1.5,39.17
1515731,unchanged,Bottles/Cans,T3,2.14,0.64,51.42,Bottles/Cans,T4,5.0,1.5,51.42
1515734,unchanged,Bottles/Cans,T3,14.08,4.23,59.39,Bottles/Cans,T4,15.44,4.63,59.39
1515735,unchanged,Bottles/Cans,T3,0.0,0.0,36.71,Bottles/Cans,T4,0.0,0.0,36.71
1515740,unchanged,Bottles/Cans,T3,0.0,0.0,36.43,Bottles/Cans,T4,0.0,0.0,36.43
1515747,unchanged,Waste,T4,83.99,83.99,78.0,Waste,T3,83.99,83.99,78.0
1515751,unchanged,Compostables,T2,45.01,54.02,80.01,Compostables,T1,69.8,83.76,80.01
1515758,unchanged,Compostables,T2,33.72,40.47,61.24,Compostables,T1,91.86,110.23,61.24
1515759,unchanged,Compostables,T2,97.25,116.7,79.49,Compostables,T1,119.23,143.08,79.49
1515760,unchanged,Bottles/Cans,T3,27.12,8.13,68.08,Bottles/Cans,T4,39.64,11.89,68.08
1515764,unchanged,Bottles/Cans,T3,0.0,0.0,9.3,Bottles/Cans,T4,5.0,1.5,9.3
1515771,unchanged,Bottles/Cans,T3,0.0,0.0,14.09,Bottles/Cans,T4,0.0,0.0,14.09
1515775,unchanged,Bottles/Cans,T3,82.08,24.63,90.26,Bottles/Cans,T4,101.43,30.43,90.26
1516524,unchanged,Bottles/Cans,T3,0.0,0.0,34.82,Bottles/Cans,T4,5.0,1.5,34.82
1516532,unchanged,Bottles/Cans,T3,18.6,5.58,62.4,Bottles/Cans,T4,23.83,7.15,62.4
1516533,unchanged,Bottles/Cans,T3,0.0,0.0,20.6,Bottles/Cans,T4,5.0,1.5,20.6
1516535,unchanged,Bottles/Cans,T3,7.34,2.2,54.89,Bottles/Cans,T4,7.34,2.2,54.89
1520909,unchanged,Bottles/Cans,T3,0.0,0.0,38.43,Bottles/Cans,T4,0.0,0.0,38.43
1520913,unchanged,Waste,T4,35.57,35.57,46.39,Waste,T3,58.77,58.77,46.39
2502339,unchanged,Bottles/Cans,T3,37.88,11.36,73.06,Bottles/Cans,T4,53.53,16.06,73.06
2503766,unchanged,Waste,T4,34.98,34.98,46.25,Waste,T3,58.1,58.1,46.25
2503769,unchanged,Waste,T4,34.61,34.61,73.07,Waste,T3,53.56,53.56,73.07
2503773,unchanged,Bottles/Cans,T3,0.0,0.0,15.89,Bottles/Cans,T4,5.0,1.5,15.89
2503774,unchanged,Bottles/Cans,T3,1.68,0.5,51.12,Bottles/Cans,T4,5.0,1.5,51.12
1503641,in_original_period1_not_in_rolling_day2,Compostables,T2,0.0,0.0,35.65,,,,,
1514023,in_original_period1_not_in_rolling_day2,Waste,T1,23.58,23.58,61.95,,,,,
1514026,in_original_period1_not_in_rolling_day2,Waste,T4,94.25,94.25,78.21,,,,,
1514027,in_original_period1_not_in_rolling_day2,Waste,T1,5.0,5.0,45.13,,,,,
1515666,in_original_period1_not_in_rolling_day2,Waste,T4,54.13,54.13,60.48,,,,,
1515673,in_original_period1_not_in_rolling_day2,Waste,T1,105.64,105.64,85.01,,,,,
1515687,in_original_period1_not_in_rolling_day2,Compostables,T2,27.94,33.53,68.63,,,,,
1515690,in_original_period1_not_in_rolling_day2,Compostables,T2,132.33,158.8,109.8,,,,,
1515692,in_original_period1_not_in_rolling_day2,Waste,T4,36.81,36.81,62.27,,,,,
1515693,in_original_period1_not_in_rolling_day2,Waste,T1,45.62,45.62,65.21,,,,,
1515694,in_original_period1_not_in_rolling_day2,Waste,T4,32.15,32.15,39.66,,,,,
1515712,in_original_period1_not_in_rolling_day2,Compostables,T2,0.0,0.0,17.78,,,,,
1515742,in_original_period1_not_in_rolling_day2,Waste,T1,138.45,138.45,141.34,,,,,
1515744,in_original_period1_not_in_rolling_day2,Waste,T1,98.39,98.39,66.24,,,,,
1515748,in_original_period1_not_in_rolling_day2,Compostables,T2,0.0,0.0,26.07,,,,,
1515757,in_original_period1_not_in_rolling_day2,Compostables,T2,0.0,0.0,34.86,,,,,
1515784,in_original_period1_not_in_rolling_day2,Compostables,T2,100.16,120.19,116.77,,,,,
1515787,in_original_period1_not_in_rolling_day2,Compostables,T2,0.0,0.0,46.49,,,,,
1515788,in_original_period1_not_in_rolling_day2,Compostables,T2,18.82,22.59,60.42,,,,,
1515791,in_original_period1_not_in_rolling_day2,Compostables,T2,28.6,34.32,59.53,,,,,
1515818,in_original_period1_not_in_rolling_day2,Compostables,T2,0.0,0.0,31.99,,,,,
1516538,in_original_period1_not_in_rolling_day2,Compostables,T2,0.0,0.0,42.14,,,,,
1516543,in_original_period1_not_in_rolling_day2,Compostables,T2,16.16,19.39,60.77,,,,,
1520925,in_original_period1_not_in_rolling_day2,Compostables,T2,0.0,0.0,12.68,,,,,
500103011,in_original_period1_not_in_rolling_day2,Bottles/Cans,T3,15.22,4.57,36.72,,,,,
1503621,added_in_rolling_day2,,,,,,Waste,T2,40.63,40.63,63.54
1503628,added_in_rolling_day2,,,,,,Waste,T3,5.0,5.0,33.24
1514005,added_in_rolling_day2,,,,,,Compostables,T1,36.47,43.77,41.44
1514024,added_in_rolling_day2,,,,,,Waste,T2,18.64,18.64,56.21
1514031,added_in_rolling_day2,,,,,,Waste,T3,45.75,45.75,80.5
1515668,added_in_rolling_day2,,,,,,Waste,T3,41.23,41.23,68.65
1515671,added_in_rolling_day2,,,,,,Waste,T2,30.65,30.65,59.52
1515680,added_in_rolling_day2,,,,,,Waste,T2,35.28,35.28,73.52
1515704,added_in_rolling_day2,,,,,,Waste,T2,96.29,96.29,65.68
1515710,added_in_rolling_day2,,,,,,Waste,T2,48.57,48.57,44.13
1515714,added_in_rolling_day2,,,,,,Compostables,T1,57.84,69.41,46.19
1515715,added_in_rolling_day2,,,,,,Compostables,T1,69.14,82.97,58.44
1515718,added_in_rolling_day2,,,,,,Compostables,T1,44.93,53.92,40.33
1515745,added_in_rolling_day2,,,,,,Waste,T2,17.06,17.06,59.97
1516548,added_in_rolling_day2,,,,,,Waste,T3,44.21,44.21,43.16
1516555,added_in_rolling_day2,,,,,,Waste,T3,14.82,14.82,36.63
1516556,added_in_rolling_day2,,,,,,Waste,T2,26.16,26.16,63.24
